id,actual_price,predicted_price_tabular,predicted_price_multimodal
0,365000,347375.2319,369470.78
1,865000,928896.2533,889167.44
2,1038000,1036591.68,996183.9
3,1490000,2075116.795,1556536.1
4,711000,660603.0586,658331.4
5,211000,261180.9625,263162.03
6,790000,756833.009,713579.75
7,680000,634618.2829,593949.75
8,384500,467986.0648,442877.34
9,605000,459429.3996,399879.34
10,638000,599325.3513,500059.5
11,385000,404193.3021,557358.6
12,175000,257461.8908,395430.16
13,365000,361242.4562,518669.3
14,160000,248508.2944,104378.49
15,1070000,1087151.528,1217874.2
16,800000,758871.5033,344183.1
17,795127,1059766.404,1170293.1
18,355000,434763.5071,362580.25
19,474000,456581.3438,473911.16
20,485000,466597.1285,598695.4
21,930000,854203.1421,1554198.2
22,920000,652757.3956,655045.1
23,560000,578552.7639,739611.6
24,654000,611394.6849,495586.88
25,549000,528378.5724,501746.66
26,290000,252448.8753,206619.16
27,275000,275017.6257,285210.38
28,329990,374683.5018,284842.84
29,750000,514316.6287,413212.25
30,425000,250682.3843,139926.83
31,515000,518983.7803,643954.94
32,605000,522428.0047,482832.06
33,250000,248727.9088,219394.52
34,330000,374782.2571,398235.75
35,984000,879207.1694,593685.56
36,827500,895089.3681,1061769.4
37,485000,423306.3817,494936.06
38,306000,362594.0924,373514.34
39,1890000,1821501.715,1501714
40,514000,555450.1739,546411.2
41,282613,265975.3582,368088.84
42,309000,327155.0547,280579.7
43,400000,393806.3332,399847.97
44,310000,362877.2497,234758
45,253200,260017.1031,369019.38
46,334009,438847.6696,438038.12
47,500000,584982.0107,454479.62
48,441500,407229.4529,400614.7
49,685000,717239.2707,665326.25
50,327000,490175.3669,449079.4
51,450000,595699.1032,502398.25
52,356000,337266.1866,565775.6
53,525000,608143.0022,513021.53
54,675000,516914.9014,437911.5
55,875000,1289772.482,1367947.4
56,345000,385051.3104,356672.8
57,695000,749536.7868,786209.8
58,350000,465041.5357,482649.44
59,695000,709950.9599,624776.25
60,400000,332051.5665,403922.03
61,330000,295082.9272,383831.84
62,265000,234398.082,268302.2
63,630000,635149.2201,716385.8
64,312000,450571.384,498939.62
65,156000,182788.1338,186246.97
66,300000,397969.3714,531379
67,1225000,477171.4889,635494.1
68,465000,514814.4298,444472.72
69,923990,918537.6241,937585.56
70,320000,320420.8464,234233.36
71,375000,382665.1638,409003.38
